date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:07:47	58/58	---MCZ	200	added ('OK')	text/plain	etag:W/%2264cba57e-26%22	https://omundoeoseular.com.br/robots.txt		(from )
17:07:48	227972/227972	---MCZ	200	added ('OK')	text/html	date:Wed,%2024%20Jul%202024%2012:51:01%20GMT	https://omundoeoseular.com.br/jornada/?ref=X94235939Q	C:/Meus%20Sites/a%20jornada/omundoeoseular.com.br/jornada/indexcf4f.html	(from )
17:07:48	99/99	---MCZ	200	added ('OK')	text/css	etag:W/%22668328a5-63%22	https://omundoeoseular.com.br/wp-content/plugins/hide-admin-bar-based-on-user-roles/public/css/hide-admin-bar-based-on-user-roles-public.css?ver=3.8.2	C:/Meus%20Sites/a%20jornada/omundoeoseular.com.br/wp-content/plugins/hide-admin-bar-based-on-user-roles/public/css/hide-admin-bar-based-on-user-roles-public3fd0.css	(from https://omundoeoseular.com.br/jornada/?ref=X94235939Q)
17:07:48	5501/5501	---MCZ	200	added ('OK')	text/css	etag:W/%22667498f7-157d%22	https://omundoeoseular.com.br/wp-content/themes/hello-elementor/style.min.css?ver=3.1.0	C:/Meus%20Sites/a%20jornada/omundoeoseular.com.br/wp-content/themes/hello-elementor/style.min324d.css	(from https://omundoeoseular.com.br/jornada/?ref=X94235939Q)
17:07:48	5146/5146	---MCZ	200	added ('OK')	text/css	etag:W/%22667498f7-141a%22	https://omundoeoseular.com.br/wp-content/themes/hello-elementor/theme.min.css?ver=3.1.0	C:/Meus%20Sites/a%20jornada/omundoeoseular.com.br/wp-content/themes/hello-elementor/theme.min324d.css	(from https://omundoeoseular.com.br/jornada/?ref=X94235939Q)
17:07:49	7212/7212	---MCZ	200	added ('OK')	text/css	etag:W/%22667498f7-1c2c%22	https://omundoeoseular.com.br/wp-content/themes/hello-elementor/header-footer.min.css?ver=3.1.0	C:/Meus%20Sites/a%20jornada/omundoeoseular.com.br/wp-content/themes/hello-elementor/header-footer.min324d.css	(from https://omundoeoseular.com.br/jornada/?ref=X94235939Q)
17:07:49	19820/19820	---MCZ	200	added ('OK')	text/css	etag:W/%2266a0e7c7-4d6c%22	https://omundoeoseular.com.br/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.30.0	C:/Meus%20Sites/a%20jornada/omundoeoseular.com.br/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.mine94d.css	(from https://omundoeoseular.com.br/jornada/?ref=X94235939Q)
17:07:49	212120/212120	---MCZ	200	added ('OK')	text/css	etag:W/%2266a0e7c6-33c98%22	https://omundoeoseular.com.br/wp-content/plugins/elementor/assets/css/frontend-lite.min.css?ver=3.23.2	C:/Meus%20Sites/a%20jornada/omundoeoseular.com.br/wp-content/plugins/elementor/assets/css/frontend-lite.min5f06.css	(from https://omundoeoseular.com.br/jornada/?ref=X94235939Q)
17:07:49	12876/12876	---MCZ	200	added ('OK')	text/css	etag:W/%2266a0e7c7-324c%22	https://omundoeoseular.com.br/wp-content/plugins/elementor/assets/lib/swiper/css/swiper.min.css?ver=5.3.6	C:/Meus%20Sites/a%20jornada/omundoeoseular.com.br/wp-content/plugins/elementor/assets/lib/swiper/css/swiper.min48f5.css	(from https://omundoeoseular.com.br/jornada/?ref=X94235939Q)
17:07:50	6813/6813	---MCZ	200	added ('OK')	text/css	etag:W/%2266a0e7dd-1a9d%22	https://omundoeoseular.com.br/wp-content/uploads/elementor/css/post-2743.css?ver=1721821149	C:/Meus%20Sites/a%20jornada/omundoeoseular.com.br/wp-content/uploads/elementor/css/post-2743da07.css	(from https://omundoeoseular.com.br/jornada/?ref=X94235939Q)
